epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1805.07,0.49891,1.14828,1.86565,0.37109,0.92289,0.49208,0.43344,0.4662,4.77324,1.85182,0.000614,0.000614,0.000614
72,1831.92,0.51443,0.86621,1.91374,0.37698,0.73957,0.48778,0.43515,0.43611,6.85126,1.85527,0.0005942,0.0005942,0.0005942
73,1857.58,0.50135,1.17811,1.85122,0.38336,0.80327,0.48323,0.42481,0.46651,3.13376,1.86301,0.0005744,0.0005744,0.0005744
74,1884.34,0.51517,1.05498,1.8683,0.36521,0.73279,0.45677,0.40076,0.47506,5.38268,1.86682,0.0005546,0.0005546,0.0005546
75,1910.54,0.50987,0.9387,1.85961,0.37807,0.89786,0.48709,0.43385,0.43282,3.99918,1.8389,0.0005348,0.0005348,0.0005348
76,1936.84,0.52182,1.07213,1.87262,0.37951,0.8725,0.47692,0.42396,0.43378,5.13507,1.83397,0.000515,0.000515,0.000515
77,1962.56,0.49963,0.98266,1.8622,0.38054,0.72631,0.46956,0.41715,0.45064,5.1699,1.82808,0.0004952,0.0004952,0.0004952
78,1989.4,0.52315,0.8849,1.86856,0.38359,0.67038,0.46593,0.41177,0.44242,5.44379,1.83618,0.0004754,0.0004754,0.0004754
79,2016.38,0.46741,0.87103,1.89666,0.38853,0.71228,0.46536,0.41521,0.4147,5.29857,1.83324,0.0004556,0.0004556,0.0004556
80,2043.1,0.48499,0.96534,1.89178,0.37874,0.89624,0.48017,0.43134,0.41891,4.98707,1.84552,0.0004358,0.0004358,0.0004358
81,2070.62,0.49828,0.84233,1.86907,0.38022,0.83906,0.46988,0.41901,0.4207,6.23781,1.85153,0.000416,0.000416,0.000416
82,2096.58,0.47313,0.86349,1.86573,0.3884,0.68405,0.48811,0.43902,0.41192,5.30438,1.83027,0.0003962,0.0003962,0.0003962
83,2122.32,0.47144,0.91389,1.86106,0.38319,0.77051,0.47107,0.41977,0.42422,5.65238,1.83546,0.0003764,0.0003764,0.0003764
84,2148.7,0.51079,0.88016,1.90135,0.38123,0.88653,0.46358,0.41142,0.42677,5.37709,1.8263,0.0003566,0.0003566,0.0003566
85,2175.02,0.49632,1.02769,1.83913,0.3817,0.8601,0.47955,0.42793,0.41683,4.1956,1.82586,0.0003368,0.0003368,0.0003368
86,2200.63,0.46806,0.79816,1.87277,0.37873,0.80076,0.47413,0.42365,0.41453,7.08008,1.84471,0.000317,0.000317,0.000317
87,2227.68,0.48096,0.83096,1.83349,0.39146,0.60185,0.48557,0.43475,0.4203,5.3113,1.82509,0.0002972,0.0002972,0.0002972
88,2254,0.4735,0.81705,1.84879,0.38076,0.87448,0.4693,0.4201,0.40376,6.32914,1.83315,0.0002774,0.0002774,0.0002774
89,2280.82,0.4659,0.78186,1.86916,0.38363,0.80002,0.47746,0.42935,0.40745,5.76044,1.82744,0.0002576,0.0002576,0.0002576
90,2307.09,0.47412,0.88245,1.84686,0.38098,0.89823,0.46471,0.4172,0.40417,6.02509,1.83384,0.0002378,0.0002378,0.0002378
91,2334.15,0.42327,0.83257,1.85582,0.38318,0.72935,0.47797,0.43054,0.40691,5.33142,1.82321,0.000218,0.000218,0.000218
92,2359.5,0.44654,0.94296,1.80615,0.25176,0.97069,0.4807,0.4343,0.40551,4.62221,1.82049,0.0001982,0.0001982,0.0001982
93,2384.63,0.42708,1.04821,1.80437,0.36157,0.94264,0.48513,0.43502,0.40792,5.22597,1.82123,0.0001784,0.0001784,0.0001784
94,2410.19,0.42069,0.99847,1.85448,0.45464,0.41719,0.48339,0.43372,0.40385,5.89949,1.82382,0.0001586,0.0001586,0.0001586
95,2435.32,0.4174,0.91864,1.81702,0.41569,0.54936,0.48536,0.43476,0.40231,5.02494,1.8146,0.0001388,0.0001388,0.0001388
96,2460.88,0.41796,0.79718,1.83936,0.42871,0.51034,0.47646,0.42752,0.39525,5.3854,1.81841,0.000119,0.000119,0.000119
97,2487.51,0.41342,1.02321,1.80454,0.42719,0.48211,0.47593,0.4268,0.40524,5.25492,1.82785,9.92e-05,9.92e-05,9.92e-05
98,2512.03,0.41134,0.95009,1.86743,0.43362,0.46215,0.47887,0.43063,0.39575,5.32256,1.81586,7.94e-05,7.94e-05,7.94e-05
99,2536.66,0.4109,0.8168,1.86805,0.43677,0.4465,0.47859,0.43091,0.3991,5.24399,1.8279,5.96e-05,5.96e-05,5.96e-05
100,2561.36,0.40699,0.95049,1.87066,0.4286,0.45981,0.47505,0.42932,0.38296,5.25606,1.82309,3.98e-05,3.98e-05,3.98e-05
